machine,limits,benchmark,base_result,lower_is_better,result,normalized
issdm-6,with,ramsmp_fl-point_writing_1kb_block,6746.64,False,1167.12,-5.780588114332717
issdm-6,with,ramsmp_fl-point_writing_2kb_block,6250.06,False,1160.66,-5.384918925438974
issdm-6,with,ramsmp_fl-point_writing_4kb_block,6329.5,False,1160.29,-5.455101741805928
issdm-6,with,ramsmp_fl-point_writing_8kb_block,6359.04,False,1175.55,-5.409416868699758
issdm-6,with,ramsmp_fl-point_writing_16kb_block,6395.65,False,1159.68,-5.5150127621412794
issdm-6,with,ramsmp_fl-point_writing_32kb_block,6398.39,False,1160.34,-5.514237206336075
issdm-6,with,ramsmp_fl-point_writing_64kb_block,6405.93,False,1160.39,-5.520497418971208
issdm-6,with,ramsmp_fl-point_writing_128kb_block,6344.77,False,572.41,-11.084310197236249
issdm-6,with,ramsmp_fl-point_writing_256kb_block,6287.62,False,572.51,-10.982550523134966
issdm-6,with,ramsmp_fl-point_writing_512kb_block,6252.38,False,568.8,-10.992229254571027
issdm-6,with,ramsmp_fl-point_writing_1024kb_block,5275.28,False,278.89,-18.915271253899387
issdm-6,with,ramsmp_fl-point_writing_2048kb_block,5069.86,False,163.3,-31.04629516227801
issdm-6,with,ramsmp_fl-point_writing_4096kb_block,5071.63,False,167.43,-30.29104700471839
issdm-6,with,ramsmp_fl-point_writing_8192kb_block,5066.69,False,172.82,-29.31772942946418
issdm-6,with,ramsmp_fl-point_writing_16384kb_block,5062.19,False,175.68,-28.814833788706736
issdm-6,with,ramsmp_fl-point_writing_32768kb_block,5051.49,False,176.73,-28.58309285350535
issdm-6,with,ramsmp_fl-point_reading_1kb_block,2022.72,False,1741.8,-1.1612814330003445
issdm-6,with,ramsmp_fl-point_reading_2kb_block,2030.82,False,1717.76,-1.182248975409836
issdm-6,with,ramsmp_fl-point_reading_4kb_block,2034.85,False,1716.85,-1.1852229373562047
issdm-6,with,ramsmp_fl-point_reading_8kb_block,2032.79,False,1718.42,-1.182941306549039
issdm-6,with,ramsmp_fl-point_reading_16kb_block,2035.83,False,1684.84,-1.2083224519835711
issdm-6,with,ramsmp_fl-point_reading_32kb_block,1839.15,False,1716.4,-1.071515963644838
issdm-6,with,ramsmp_fl-point_reading_64kb_block,1362.23,False,1717.27,1.2606314645838075
issdm-6,with,ramsmp_fl-point_reading_128kb_block,1359.35,False,645.86,-2.104713095717338
