benchmark,base_result,machine,limits,class,lower_is_better,repetition,result,normalized
stressng-memory-zero,37502.320117,issdm-6,with,memory,False,1,8341.10003,-4.496088043797265
stressng-cpu-crc16,44.270772,issdm-6,with,cpu,False,1,9.550258,-4.635557699069491
stressng-cpu-hamming,140.566785,issdm-6,with,cpu,False,1,29.969473,-4.690332225728494
stressng-memory-pipe,107971.197056,issdm-6,with,memory,False,1,22251.741367,-4.852258314314426
stressng-memory-malloc,281510.474126,issdm-6,with,memory,False,1,53810.033148,-5.231561061330868
stressng-cpu-union,9992.295155,issdm-6,with,cpu,False,1,1721.2217870000004,-5.805350147476374
stressng-memory-context,1831.81215,issdm-6,with,memory,False,1,292.6024,-6.260413961061152
stressng-cpu-gcd,496.183508,issdm-6,with,cpu,False,1,62.697398,-7.913940990023224
stressng-cpu-int64longdouble,371.986874,issdm-6,with,cpu,False,1,46.107568,-8.067805137759597
stressng-string-strncasecmp,11049.836636,issdm-6,with,string,False,1,621.401437,-17.782122760041187
stressng-string-strcasecmp,13501.029625,issdm-6,with,string,False,1,629.827637,-21.43607049272752
stressng-cpu-jenkin,471476.431807,issdm-6,without,cpu,False,3,17104.186859999998,-27.564971995809923
stressng-cpu-jenkin,471476.431807,issdm-6,with,cpu,False,1,1706.527391,-276.27826795720034
